,,,,,,,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
14121214,LAMINA MARMOL MATE PIGMENTO M-14,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Mate Pigmento M-14. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1kMgvFo5gfOVKVQhhxaFxMjjgnpmHmBnD/view?usp=drive_link,,
14121014,LAMINA MARMOL MATE PIGMENTO M-14,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,290,3,48.03,9.51,0.118,"Lamina Marmol Mate Pigmento M-14. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 290 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1kMgvFo5gfOVKVQhhxaFxMjjgnpmHmBnD/view?usp=drive_link,,
14121215,LAMINA MARMOL MATE GRECIA M-15,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Mate Grecia M-15. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1q0bPTPNZcuL_q2fZj-dIJGb0xfB_3bcW/view?usp=drive_link,,
14121216,LAMINA MARMOL MATE PIEDRA ANGULAR M-16,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Mate Piedra Angular M-16. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1tpTsR3szLFlAV3bczi1DGkCRFJ676n5X/view?usp=drive_link,,
14121016,LAMINA MARMOL MATE PIEDRA ANGULAR M-16,LAMINAS,MARMOL,INTERIOR,"$ 108,299",Unit,1,122,290,3,48.03,9.51,0.118,"Lamina Marmol Mate Piedra Angular M-16. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 290 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1tpTsR3szLFlAV3bczi1DGkCRFJ676n5X/view?usp=drive_link,,
14121217,LAMINA MARMOL BEIGE ACUARELA M-17,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Beige Acuarela M-17. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1gH8uVAJ4S_iHaLi7-tApX-S-e-yweslu/view?usp=drive_link,,
14121218,LAMINA MARMOL DESTELLOS DE ORO M-18,LAMINAS,MARMOL,INTERIOR,"$ 116,899",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Destellos De Oro M-18. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1AmzTb5nsWI-yRZ0UdphpOnLdpd9Zg9PD/view?usp=drive_link,,
14121219,LAMINA MARMOL VIZCAYA M-19,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Vizcaya M-19. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1pd5ze-nxk_0D2p2D_tTHLiGfnQVYBo-N/view?usp=drive_link,,
14121220,LAMINA MARMOL GUATAPURI M-20,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Guatapuri M-20. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1NR2TLyYHDnY9lLIzHaVqtg3etuI1DHp-/view?usp=drive_link,,
14121221,LAMINA MARMOL VENECIA M-21,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Venecia M-21. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1XvBPZuCqU0IQKsCCWkNMqt7aHjizSrF1/view?usp=drive_link,,
14121222,LAMINA MARMOL MEDITERRANEO M-22,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Mediterraneo M-22. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1BFW5prBd5EefPqMg7bky5ChdZbTl82FI/view?usp=drive_link,,
14121223,LAMINA MARMOL OASIS M-23,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Oasis M-23. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1FEN8oXg_b-PwizgKsvG5SdYYszn0NBOG/view?usp=drive_link,,
14121229,LAMINA MARMOL VERONA M-29,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Verona M-29. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1_GQy23lntPovuUoiIhMaQ-gCMCTHFVE9/view?usp=drive_link,,
14121230,LAMINA MARMOL ISLANDIA M-30,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Islandia M-30. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/10gPSBxMzRZKAUL4WpUS4H5HkShhFXdhB/view?usp=drive_link,,
14121231,LAMINA MARMOL NEW YORK M-31,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol New York M-31. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1MgxSSkCT7KIHRJhQ8sBlcdTrTKA9WHHU/view?usp=drive_link,,
14121232,LAMINA MARMOL SANTORINI MIX M-32,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Santorini Mix M-32. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1VIJQg3BYRW4uM8fa6pgl8OIPCCmgoK0k/view?usp=drive_link,,
14121233,LAMINA MARMOL SINGAPUR GRIS M-33,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Singapur Gris M-33. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1ntH7MKxR8-1Ah3HwE09Q6Xx6P4zfwsSz/view?usp=drive_link,,
14121234,LAMINA MARMOL MONACO ONIX M-34,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Monaco Onix M-34. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1x9B4E9NWjsqryhGAVrDKKYwqFf5PDi9m/view?usp=drive_link,,
14121235,LAMINA MARMOL DUBAI NEGRO M-35,LAMINAS,MARMOL,INTERIOR,"$ 125,499",Unit,1,122,244,3,48.03,8.01,0.118,"Lamina Marmol Dubai Negro M-35. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit.",https://drive.google.com/file/d/1BH1yVXMaQAaDeuWfKwIPtbnQFPFO40tY/view?usp=drive_link,,
14121502,LAMINA SINTETICA CREMA SELECTA,LAMINAS,PAREDES,INTERIOR,"$ 461,299",Unit,1,122,244,6,48.03,8.01,0.236,"Lamina Sintetica Crema Selecta. Producto de la categoría laminas, subcategoría paredes, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 6.0 mm.",https://drive.google.com/file/d/1Zek7nIpBtz2tE9ajMReXvuyFhXhqHHfb/view?usp=drive_link,,
14121501,LAMINA SINTETICA PIEDRA DEL SOL,LAMINAS,PAREDES,INTERIOR,"$ 239,899",Unit,1,122,244,6,48.03,8.01,0.236,"Lamina Sintetica Piedra Del Sol. Producto de la categoría laminas, subcategoría paredes, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 6.0 mm.",https://drive.google.com/file/d/1_YIQXAGDwCOpyBM7yzpsIzQmQeZ3lbxx/view?usp=drive_link,,
14126304,PANEL ACOLCHADO DUOBIG AZUL FRACTAL (806),PAREDES,ACOLCHADO,INTERIOR,"$ 229,999",,,40,120,35,15.75,3.94,1.378,"Panel Acolchado Duobig Azul Fractal (806). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 120 cm, espesor de 35.0 mm.",https://drive.google.com/file/d/17LXwxkZFw38Ycpm4hYKtl4nRVyVf3rOz/view?usp=drive_link,,
14126307,PANEL ACOLCHADO DUOBIG BRILLO PLATA (823),PAREDES,ACOLCHADO,INTERIOR,"$ 229,999",,,40,120,35,15.75,3.94,1.378,"Panel Acolchado Duobig Brillo Plata (823). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 120 cm, espesor de 35.0 mm.",https://drive.google.com/file/d/1Ord-NaM0QYIbuzndC0LKbCx5iaHIqTU1/view?usp=drive_link,,
14126302,PANEL ACOLCHADO DUOBIG GRIS LUMINOSO (041),PAREDES,ACOLCHADO,INTERIOR,"$ 229,999",,,40,120,35,15.75,3.94,1.378,"Panel Acolchado Duobig Gris Luminoso (041). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 120 cm, espesor de 35.0 mm.",https://drive.google.com/file/d/1JhIIT7xCxbEN4CDTprNGOXhPRIdwVVmx/view?usp=drive_link,,
14126306,PANEL ACOLCHADO DUOBIG VAINILLA (820),PAREDES,ACOLCHADO,INTERIOR,"$ 229,999",,,40,120,35,15.75,3.94,1.378,"Panel Acolchado Duobig Vainilla (820). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 120 cm, espesor de 35.0 mm.",https://drive.google.com/file/d/1Z-nXe_gkJrquaE855SaHpFalc4fNmziF/view?usp=drive_link,,
14126404,PANEL ACOLCHADO DUOSMALL AZUL  FRACTAL (806),PAREDES,ACOLCHADO,INTERIOR,"$ 95,990",,,20,110,25,7.87,3.61,0.984,"Panel Acolchado Duosmall Azul  Fractal (806). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 20 x 110 cm, espesor de 25.0 mm.",https://drive.google.com/file/d/1T9GRSJIXB4z_N5p6BKTKFKGYACAG9ce_/view?usp=drive_link,,
14126407,PANEL ACOLCHADO DUOSMALL BRILLO PLATA (823),PAREDES,ACOLCHADO,INTERIOR,"$ 95,990",,,20,110,25,7.87,3.61,0.984,"Panel Acolchado Duosmall Brillo Plata (823). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 20 x 110 cm, espesor de 25.0 mm.",https://drive.google.com/file/d/1B3NutMEQVwz3MJ5g7fxCquW6i0ZtsQi5/view?usp=drive_link,,
14126402,PANEL ACOLCHADO DUOSMALL GRIS LUMINOSO (041),PAREDES,ACOLCHADO,INTERIOR,"$ 95,990",,,20,110,25,7.87,3.61,0.984,"Panel Acolchado Duosmall Gris Luminoso (041). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 20 x 110 cm, espesor de 25.0 mm.",https://drive.google.com/file/d/13YPLhkyaCp-DJno5G3wbueSacuDWNzCr/view?usp=drive_link,,
14126406,PANEL ACOLCHADO DUOSMALL VAINILLA (820),PAREDES,ACOLCHADO,INTERIOR,"$ 95,990",,,20,110,25,7.87,3.61,0.984,"Panel Acolchado Duosmall Vainilla (820). Producto de la categoría paredes, subcategoría acolchado, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 20 x 110 cm, espesor de 25.0 mm.",https://drive.google.com/file/d/13YPLhkyaCp-DJno5G3wbueSacuDWNzCr/view?usp=drive_link,,
14121410,PANEL ACRILICO MARMOL ARGENTEA,PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Argentea. Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1XFgcZuL2Cmz0nO4Y48I5Qywxt7y-NTY1/view?usp=drive_link,,
14121408,PANEL ACRILICO MARMOL AUREA (ZS3D030 Y),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Aurea (Zs3D030 Y). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1j2EFtjhWow-ZOqA18HBxr_tGfxgY0dHE/view?usp=drive_link,,
14121406,PANEL ACRILICO MARMOL GOLDEN (ZS3D038 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Golden (Zs3D038 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1QYQ_ObZfDA6wMqqRhnnPvnLosjCjThjG/view?usp=drive_link,,
14121403,PANEL ACRILICO MARMOL IMPERIAL (ZS3D037 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Imperial (Zs3D037 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1R2HXlzQNgVHvSFTPiJ1ug8KH6q6FlZHS/view?usp=drive_link,,
14121404,PANEL ACRILICO MARMOL LEGACY (ZS3D029 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Legacy (Zs3D029 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1fDz8OgeEKXwGwuoYLzfKquIOfcOJG3CK/view?usp=drive_link,,
14121409,PANEL ACRILICO MARMOL MAGNA (ZS3D039 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Magna (Zs3D039 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1oEpq3u9_9HdopaZBn6ScWo9zkkOCnRhQ/view?usp=drive_link,,
14121405,PANEL ACRILICO MARMOL MAJESTIC (ZS3D040 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Majestic (Zs3D040 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1FxiJQWGkJV4w-9WhNQtweivY1PorFsb_/view?usp=drive_link,,
14121402,PANEL ACRILICO MARMOL ONYX ROYAL (ZS3D045 J),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Onyx Royal (Zs3D045 J). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1cvH9xoGqfdXJQxHQmjjeFWjyxnf-FUJR/view?usp=drive_link,,
14121407,PANEL ACRILICO MARMOL SILVER (ZS3D038 Y),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Silver (Zs3D038 Y). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1_Pdbkn2c_snBI9-xHxfbw0LLxTIREMPY/view?usp=drive_link,,
14121401,PANEL ACRILICO MARMOL VENENCIANO (ZS3D065 Y),PAREDES,MARMOL,INTERIOR,"$ 653,199",Unit,1,122,244,2,48.03,8.01,0.079,"Panel Acrilico Marmol Venenciano (Zs3D065 Y). Producto de la categoría paredes, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 2.0 mm, presentación en Unit.",https://drive.google.com/file/d/1pugRw0H6J6FudBYtoXoyNiiYLqRfcVF6/view?usp=drive_link,,
14124303,PANEL ACUSTICO TIPO 1 BLACK OAK 8210C,PAREDES,ACUSTICO,INTERIOR,"$ 163,790",Unit,2,60,240,14,23.62,7.87,0.551,"Panel Acustico Tipo 1 Black Oak 8210C. Producto de la categoría paredes, subcategoría acustico, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 240 cm, espesor de 14.0 mm.",https://drive.google.com/file/d/1ykrRcpwlHdpUo5enK4IZzAqvIIG9LO44/view?usp=drive_link,,
14124304,PANEL ACUSTICO TIPO 1 WALNUT 8292C,PAREDES,ACUSTICO,INTERIOR,"$ 163,790",Unit,2,60,240,14,23.62,7.87,0.551,"Panel Acustico Tipo 1 Walnut 8292C. Producto de la categoría paredes, subcategoría acustico, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 240 cm, espesor de 14.0 mm.",https://drive.google.com/file/d/1gqtwUluoFSZidVhbhiHiOzGFjyooHrtg/view?usp=drive_link,,
