,,,,,,UNIDAD DE EMPAQUE,,PESO POR UNIDAD,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
14124204,JARDIN ARTIFICIAL EXTERIOR PRIMAVERA,JARDINES ARTIFICIALES,JARDINES EXTERIOR,EXTERIOR,$ 35.399,Paquete / Package,"10, 40","0,7","0,14",50,50,25,"19,69","1,64","0,984",https://drive.google.com/file/d/1wRNfbhnHm6O71wK-Sx0KaeX7wUVkrEzS/view?usp=drive_link,,,"Jardin Artificial Exterior Primavera. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 50 x 50 cm, espesor de 25.0 mm, presentación en Unit."
14124205,JARDIN ARTIFICIAL INTERIOR NATURAL,JARDINES ARTIFICIALES,JARDINES INTERIOR,INTERIOR,$ 25.799,Paquete / Package,"10, 40","0,7","0,14",40,60,24,"15,75","1,97","0,945",https://drive.google.com/file/d/1bqIlphknizRrKP7IUoeYVjWF9bXEm-4Q/view?usp=drive_link,,,"Jardin Artificial Interior Natural. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 60 cm, espesor de 24.0 mm, presentación en Unit."
14124206,JARDIN ARTIFICIAL INTERIOR VENECIA,JARDINES ARTIFICIALES,JARDINES INTERIOR,INTERIOR,$ 25.799,Paquete / Package,"10, 40","0,7","0,14",40,60,24,"15,75","1,97","0,945",https://drive.google.com/file/d/1RIGVJA2OJl85dY7Qskw4ogSY4OvbLolh/view?usp=drive_link+Q252,,,"Jardin Artificial Interior Venecia. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 60 cm, espesor de 24.0 mm, presentación en Unit."
14124207,JARDIN ARTIFICIAL INTERIOR PARIS,JARDINES ARTIFICIALES,JARDINES INTERIOR,INTERIOR,$ 25.799,Paquete / Package,"10, 40","0,7","0,14",40,60,24,"15,75","1,97","0,945",https://drive.google.com/file/d/1yxjH6Up0YGuUiHWPEchylLbGZgip_wTQ/view?usp=drive_link+Q253,,,"Jardin Artificial Interior Paris. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 40 x 60 cm, espesor de 24.0 mm, presentación en Unit."
14124208,JARDIN ARTIFICIAL MINI-MOSSY,JARDINES ARTIFICIALES,JARDINES MOSS,INTERIOR,$ 44.939,Paquete / Package,"10, 40","0,7","0,14",50,50,25,"19,69","1,64","0,984",https://drive.google.com/file/d/1Ji3HQt6R40AwZJoDpHfi1HXvgZYyWMOn/view?usp=drive_link,,,"Jardin Artificial Mini-Mossy. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 50 x 50 cm, espesor de 25.0 mm, presentación en Unit."
14124209,JARDIN ARTIFICIAL MOSSY PINO CIPRES,JARDINES ARTIFICIALES,JARDINES MOSS,INTERIOR,$ 44.939,Paquete / Package,"10, 40","0,7","0,14",50,50,25,"19,69","1,64","0,984",https://drive.google.com/file/d/1ZNLRqN9nFINGYOeLXLlNIFFE4uGnlsK6/view?usp=drive_link,,,"Jardin Artificial Mossy Pino Cipres. Producto de la categoría jardines artificiales, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 50 x 50 cm, espesor de 25.0 mm, presentación en Unit."
14141001,LAMINA ALVEOLAR POLICARBONATO 6MM BLANCA,CUBIERTAS UPVC,LAMINA ALVEOLAR POLICARBONATO,EXTERIOR,$ 330.799,Unidad / Unit,1,3,"0,61",93,105,"0,8","36,614","3,445","0,031",,,,"Lamina Alveolar Policarbonato 6Mm Blanca. Producto de la categoría cubiertas upvc, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 105 cm, espesor de 0.8 mm."
14141002,LAMINA ALVEOLAR POLICARBONATO 6MM BRONCE,CUBIERTAS UPVC,LAMINA ALVEOLAR POLICARBONATO,EXTERIOR,$ 330.799,Unidad / Unit,1,3,"0,61",93,105,"0,8","36,614","3,445","0,031",,,,"Lamina Alveolar Policarbonato 6Mm Bronce. Producto de la categoría cubiertas upvc, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 105 cm, espesor de 0.8 mm."
14141003,LAMINA ALVEOLAR POLICARBONATO 6MM TRANSPARENTE,CUBIERTAS UPVC,LAMINA ALVEOLAR POLICARBONATO,EXTERIOR,$ 330.799,Unidad / Unit,1,3,"0,61",93,105,"0,8","36,614","3,445","0,031",,,,"Lamina Alveolar Policarbonato 6Mm Transparente. Producto de la categoría cubiertas upvc, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 105 cm, espesor de 0.8 mm."
14121014,LAMINA MARMOL MATE PIGMENTO M-14,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,290,3,"48,03","9,51","0,118",https://drive.google.com/file/d/1kMgvFo5gfOVKVQhhxaFxMjjgnpmHmBnD/view?usp=drive_link,,,"Lamina Marmol Mate Pigmento M-14. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 290 cm, espesor de 3.0 mm, presentación en Unit."
14121016,LAMINA MARMOL MATE PIEDRA ANGULAR M-16,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,290,3,"48,03","9,51","0,118",https://drive.google.com/file/d/1tpTsR3szLFlAV3bczi1DGkCRFJ676n5X/view?usp=drive_link,,,"Lamina Marmol Mate Piedra Angular M-16. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 290 cm, espesor de 3.0 mm, presentación en Unit."
14121201,LAMINA MARMOL BLANCO M-01,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1goMDvnlvmFYfymdf9aC95TEtGYGuNkae/view?usp=drive_link,,,"Lamina Marmol Blanco M-01. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121202,LAMINA MARMOL GRIS M-02,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1FvOBjs49z_Ryg_QXl_SLVgpK4nfY--ac/view?usp=drive_link,,,"Lamina Marmol Gris M-02. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121203,LAMINA MARMOL NEGRO M-03,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1Pm3CdalvZ6rHJg4zSbWLI5CXUr_EJMzT/view?usp=drive_link,,,"Lamina Marmol Negro M-03. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121204,LAMINA MARMOL VETEADO M-04,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1Hvn257fUmK3mRkI7WDqwAd2yIMT5m1dk/view?usp=drive_link,,,"Lamina Marmol Veteado M-04. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121205,LAMINA MARMOL GRANITO M-05,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1qgSaAoQtlEvvlzu1Nhct9McvBgcdWzHx/view?usp=drive_link,,,"Lamina Marmol Granito M-05. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121206,LAMINA MARMOL LUNA M-06,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1NFb5WChi_PpWBkXNx7hK3pymUJCgT6JX/view?usp=drive_link,,,"Lamina Marmol Luna M-06. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121207,LAMINA MARMOL FUSION M-07,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/10ddTNOs7QmPk6o3EmchHmWhiGN2g81y_/view?usp=drive_link,,,"Lamina Marmol Fusion M-07. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121208,LAMINA MARMOL LONDRES M-08,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1SYf6aV86FF02rwSlZV_f3rAQZCcYi6z2/view?usp=drive_link,,,"Lamina Marmol Londres M-08. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121209,LAMINA MARMOL IBIZA M-09,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1hrE7NmAjxxwoIBYW1cZGWL5joZt1VGRJ/view?usp=drive_link,,,"Lamina Marmol Ibiza M-09. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121210,LAMINA MARMOL SAHARA M-10,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1sm5XTWYpi6dNpLB-UeHr_YMOF_eHYbRM/view?usp=drive_link,,,"Lamina Marmol Sahara M-10. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121211,LAMINA MARMOL ECLIPSE M-11,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 108.299,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/181fW0Tv3lAtZpmRGT2B47ipd8deLNxEc/view?usp=drive_link,,,"Lamina Marmol Eclipse M-11. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121214,LAMINA MARMOL MATE PIGMENTO M-14,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1kMgvFo5gfOVKVQhhxaFxMjjgnpmHmBnD/view?usp=drive_link,,,"Lamina Marmol Mate Pigmento M-14. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121215,LAMINA MARMOL MATE GRECIA M-15,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1q0bPTPNZcuL_q2fZj-dIJGb0xfB_3bcW/view?usp=drive_link,,,"Lamina Marmol Mate Grecia M-15. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121216,LAMINA MARMOL MATE PIEDRA ANGULAR M-16,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1tpTsR3szLFlAV3bczi1DGkCRFJ676n5X/view?usp=drive_link,,,"Lamina Marmol Mate Piedra Angular M-16. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121217,LAMINA MARMOL BEIGE ACUARELA M-17,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1gH8uVAJ4S_iHaLi7-tApX-S-e-yweslu/view?usp=drive_link,,,"Lamina Marmol Beige Acuarela M-17. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121218,LAMINA MARMOL DESTELLOS DE ORO M-18,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 116.899,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1AmzTb5nsWI-yRZ0UdphpOnLdpd9Zg9PD/view?usp=drive_link,,,"Lamina Marmol Destellos De Oro M-18. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121219,LAMINA MARMOL VIZCAYA M-19,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1pd5ze-nxk_0D2p2D_tTHLiGfnQVYBo-N/view?usp=drive_link,,,"Lamina Marmol Vizcaya M-19. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121220,LAMINA MARMOL GUATAPURI M-20,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1NR2TLyYHDnY9lLIzHaVqtg3etuI1DHp-/view?usp=drive_link,,,"Lamina Marmol Guatapuri M-20. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121221,LAMINA MARMOL VENECIA M-21,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1XvBPZuCqU0IQKsCCWkNMqt7aHjizSrF1/view?usp=drive_link,,,"Lamina Marmol Venecia M-21. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121222,LAMINA MARMOL MEDITERRANEO M-22,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1BFW5prBd5EefPqMg7bky5ChdZbTl82FI/view?usp=drive_link,,,"Lamina Marmol Mediterraneo M-22. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121223,LAMINA MARMOL OASIS M-23,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1FEN8oXg_b-PwizgKsvG5SdYYszn0NBOG/view?usp=drive_link,,,"Lamina Marmol Oasis M-23. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121229,LAMINA MARMOL VERONA M-29,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1_GQy23lntPovuUoiIhMaQ-gCMCTHFVE9/view?usp=drive_link,,,"Lamina Marmol Verona M-29. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121230,LAMINA MARMOL ISLANDIA M-30,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/10gPSBxMzRZKAUL4WpUS4H5HkShhFXdhB/view?usp=drive_link,,,"Lamina Marmol Islandia M-30. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121231,LAMINA MARMOL NEW YORK M-31,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1MgxSSkCT7KIHRJhQ8sBlcdTrTKA9WHHU/view?usp=drive_link,,,"Lamina Marmol New York M-31. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121232,LAMINA MARMOL SANTORINI MIX M-32,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1VIJQg3BYRW4uM8fa6pgl8OIPCCmgoK0k/view?usp=drive_link,,,"Lamina Marmol Santorini Mix M-32. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121233,LAMINA MARMOL SINGAPUR GRIS M-33,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1ntH7MKxR8-1Ah3HwE09Q6Xx6P4zfwsSz/view?usp=drive_link,,,"Lamina Marmol Singapur Gris M-33. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
14121234,LAMINA MARMOL MONACO ONIX M-34,LAMINAS,LAMINAS MARMOL PVC ,INTERIOR,$ 125.499,Estiba / Pallet,"110, 150, 170",19,"3,89",122,244,3,"48,03","8,01","0,118",https://drive.google.com/file/d/1x9B4E9NWjsqryhGAVrDKKYwqFf5PDi9m/view?usp=drive_link,,,"Lamina Marmol Monaco Onix M-34. Producto de la categoría laminas, subcategoría marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 3.0 mm, presentación en Unit."
